alvo_retorno,horizonte_dias,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1,runtime_seconds
0.03,17,0.43350462487153135,0.396613648024628,0.41648706896551724,0.40630749014454665,0.08501440922190202,0.18322981366459629,0.11614173228346457,0.5747074707470747,0.47525120952735395,0.520268893868405,0.34757270543213875,0.4500445749903307,20.7
0.03,18,0.45426515930113054,0.40050632911392403,0.4220917822838847,0.4110158482722785,0.07850467289719626,0.1510791366906475,0.1033210332103321,0.5847133757961783,0.5075562108367121,0.5434096290449881,0.35258217017586624,0.4672635705023176,21.1
0.03,19,0.45699588477366254,0.397887323943662,0.4185185185185185,0.40794223826714804,0.07021276595744681,0.14224137931034483,0.09401709401709402,0.5815986677768527,0.5102264426588751,0.5435797665369649,0.3485130329404023,0.46937123393314517,21.2
0.03,20,0.47098765432098766,0.4098442993470618,0.42744892613934,0.41846153846153844,0.0472636815920398,0.0979381443298969,0.06375838926174497,0.5893798135387109,0.5273848385926732,0.5566615620214395,0.34629382991490765,0.48270126150884035,21.5
0.04,3,0.7552604698672114,0.1756440281030445,0.21865889212827988,0.19480519480519481,0.853230843141965,0.8873344991256558,0.8699485672299779,0.22950819672131148,0.12750455373406194,0.16393442622950818,0.4095627294215603,0.7434570574953593,21.4
0.04,4,0.6760736196319018,0.18833333333333332,0.23251028806584362,0.20810313075506445,0.7956431535269709,0.8482167542162012,0.8210892546500737,0.2880184331797235,0.1588310038119441,0.20475020475020475,0.41131419671844766,0.6609726721379732,38.2
0.04,5,0.5942740286298569,0.1875,0.22186495176848875,0.203240058910162,0.7252100840336134,0.7941717791411043,0.7581259150805271,0.3065068493150685,0.1775793650793651,0.22487437185929648,0.39541344861666183,0.5776235514598792,47.0
0.04,6,0.5355828220858896,0.1990632318501171,0.22397891963109354,0.21078735275883448,0.6646688642493257,0.7541652499149949,0.7065944568333864,0.33047210300429186,0.19411764705882353,0.24457384859714135,0.3873185527297874,0.5172034311087,42.2
0.04,7,0.4802456499488229,0.20594059405940593,0.2377142857142857,0.2206896551724138,0.6023748395378691,0.709909228441755,0.6517361111111111,0.3438735177865613,0.1910688140556369,0.2456470588235294,0.3726909417023514,0.4609718748017566,42.0
0.04,8,0.4415557830092119,0.22271914132379247,0.25382262996941896,0.2372558361124345,0.5442200557103064,0.6631310988544761,0.597819850831899,0.3854748603351955,0.22301228183581126,0.28255528255528256,0.37254365649987203,0.42557264805529305,41.7
0.04,9,0.41782786885245904,0.24529844644317253,0.27932960893854747,0.26121027427078797,0.49924755455229497,0.6286120322122217,0.5565107989096246,0.4124124124124124,0.2430678466076696,0.3058648849294729,0.37452865270329516,0.40446211291403694,42.2
0.04,10,0.39344262295081966,0.26436781609195403,0.2979274611398964,0.2801461632155907,0.44589774078478,0.5936675461741425,0.5092802172928927,0.42775665399239543,0.24630541871921183,0.3126085446335533,0.3673449750473456,0.38127686061868604,40.4
0.04,11,0.3709016393442623,0.26863572433192684,0.305111821086262,0.2857142857142857,0.39787685774946924,0.5564133016627079,0.4639762317405298,0.44514959202175886,0.2525720164609053,0.3222842139809649,0.35732491047859344,0.36179728933285527,40.5
0.04,12,0.36205128205128206,0.2817379497623897,0.3187403993855607,0.2990990990990991,0.3609885260370697,0.5392221489782465,0.4324610097805974,0.46830985915492956,0.2587548638132296,0.3333333333333333,0.3549644807376766,0.3550366589123131,43.2
0.04,13,0.35856410256410254,0.2999361837906828,0.3448275862068966,0.32081911262798635,0.32582654528030663,0.5048255382331106,0.39603960396039606,0.48976248976248976,0.2762124711316397,0.3532191376255168,0.3566926180712997,0.35599204718068567,41.6
0.04,14,0.35544147843942503,0.31077844311377245,0.3649789029535865,0.3357050452781371,0.2994764397905759,0.4774624373956594,0.3680823680823681,0.49612403100775193,0.28444444444444444,0.3615819209039548,0.3551231114214867,0.35562516907229696,42.5
