Date,Close,High,Low,Open,Volume,Retorno_Diario,Ticker,DiasParaEleicaoBR,DiasParaEleicaoUSA,Alvo
2015-12-18,23.862144470214844,24.64757155863117,23.812633002022064,24.510292101826575,385813200,-0.027069047133736368,AAPL,1045,326,1.0
2015-12-21,24.154701232910156,24.163703470375193,23.758611369454755,24.143448006828553,190362400,0.012260287966175287,AAPL,1042,323,1.0
2015-12-22,24.132204055786133,24.242478494517847,23.956662945741538,24.170462289243822,131157600,-0.0009313788196796402,AAPL,1041,322,1.0
2015-12-23,24.44277000427246,24.49678172098979,24.12544751992992,24.14120100884754,130629600,0.012869356970809376,AAPL,1040,321,1.0
2015-12-24,24.312240600585938,24.53054017780593,24.294236122320022,24.53054017780593,54281600,-0.005340205044833568,AAPL,1039,320,1.0
2015-12-28,24.039932250976562,24.235727112853997,23.895899841205267,24.2132206537633,106816800,-0.01120046293071042,AAPL,1035,316,1.0
2015-12-29,24.47202491760254,24.62731052796695,24.048930007408522,24.071434745301563,123724800,0.01797395525556955,AAPL,1034,315,1.0
2015-12-30,24.15245246887207,24.46302196351547,24.12094549334309,24.43601696563428,100855200,-0.013058684346982763,AAPL,1033,314,1.0
2015-12-31,23.688852310180664,24.087191548411436,23.58982938942201,24.08269128701408,163649200,-0.019194744686441223,AAPL,1032,313,1.0
2016-01-04,23.709108352661133,23.713610331495133,22.95518829613928,23.092469461544965,270597600,0.0008550875413986248,AAPL,1028,309,1.0
2016-01-05,23.114965438842773,23.821624751632932,23.0474512349527,23.799120017002906,223164000,-0.025059690351099673,AAPL,1027,308,1.0
2016-01-06,22.662614822387695,23.038450962466055,22.475823963727517,22.631107847818445,273829600,-0.019569599515599556,AAPL,1026,307,1.0
2016-01-07,21.706153869628906,22.534341069129724,21.70165360809434,22.208018022318978,324377600,-0.0422043510978235,AAPL,1025,306,1.0
2016-01-08,21.8209285736084,22.30478820822411,21.77591909378435,22.178760291115495,283192000,0.005287657346799035,AAPL,1024,305,1.0
2016-01-11,22.174257278442383,22.29353393971297,21.9064462500791,22.273280189837518,198957600,0.01619219382172954,AAPL,1021,302,1.0
2016-01-12,22.496084213256836,22.66037209985096,22.244026626852737,22.628865116175675,196616800,0.014513538414083982,AAPL,1020,301,1.0
2016-01-13,21.917692184448242,22.77288571263759,21.89743844131264,22.577090943988722,249758400,-0.025710786967438115,AAPL,1019,300,1.0
2016-01-14,22.397058486938477,22.613108800881438,21.54636659991894,22.045979731534,252680400,0.02187120333911663,AAPL,1018,299,1.0
2016-01-15,21.859188079833984,21.989717982749493,21.460848837421395,21.649890724125214,319335600,-0.024015225366231352,AAPL,1017,298,1.0
2016-01-19,21.753416061401367,22.201266773710493,21.492356250325585,22.14725505028168,212350800,-0.0048387898967846565,AAPL,1013,294,1.0
2016-01-20,21.782669067382812,22.09774055868971,21.024247186087106,21.40233263225508,289337600,0.0013447545846994036,AAPL,1012,293,1.0
2016-01-21,21.67238998413086,22.027968898210855,21.366320797504212,21.84342733424489,208646000,-0.005062698373225705,AAPL,1011,292,1.0
2016-01-22,22.82465934753418,22.83366158858116,22.13825520847064,22.196767199773134,263202000,0.053167618534321504,AAPL,1010,291,1.0
2016-01-25,22.379051208496094,22.849406537567848,22.32728877108087,22.847155548897288,207178000,-0.01952310140769864,AAPL,1007,288,1.0
2016-01-26,22.502830505371094,22.703125593310077,22.07073335276125,22.48932800591499,300308000,0.005531034167704396,AAPL,1006,287,1.0
2016-01-27,21.024248123168945,21.746661081313626,21.006243644691438,21.61388191579554,533478800,-0.06570650664809619,AAPL,1005,286,1.0
2016-01-28,21.17503547668457,21.271807419202073,20.792449685523394,21.10752124606888,222715200,0.0071720687765977065,AAPL,1004,285,1.0
2016-01-29,21.90644645690918,21.90644645690918,21.233544971670028,21.33256788400009,257666000,0.03454119267143385,AAPL,1003,284,1.0
2016-02-01,21.70164680480957,21.76466074854957,21.469844775908342,21.71064904205831,163774000,-0.009348830377508222,AAPL,1000,281,1.0
2016-02-02,21.262800216674805,21.61387891320668,21.217789026733964,21.47434679989208,149428800,-0.020221810449772337,AAPL,999,280,1.0
2016-02-03,21.68364143371582,21.79391583070109,21.172776939232083,21.379823236388418,183857200,0.01979237037231729,AAPL,998,279,1.0
2016-02-04,21.857873916625977,22.023053229116783,21.5388313080044,21.69043312718145,185886800,0.00803520402432234,AAPL,997,278,1.0
2016-02-05,21.27408790588379,21.930276903879193,21.199419474643552,21.83976777892845,185672400,-0.02670827057420877,AAPL,996,277,1.0
2016-02-08,21.498106002807617,21.654232529241604,21.052349828551243,21.07271348257014,216085600,0.01053009172073005,AAPL,993,274,1.0
2016-02-09,21.493579864501953,21.70853933097506,21.25373206268932,21.33519013242165,177324800,-0.00021053660750736114,AAPL,992,273,1.0
2016-02-10,21.330657958984375,21.8013040732542,21.292192138208378,21.70400705661494,169374400,-0.007580026526276984,AAPL,991,272,1.0
2016-02-11,21.20168685913086,21.43248527838415,20.950524787406167,21.222052237920717,200298800,-0.006046278558378582,AAPL,990,271,1.0
2016-02-12,21.26729965209961,21.382698827553845,21.045554112477838,21.312555076943397,161405600,0.003094696823167764,AAPL,989,270,1.0
2016-02-16,21.866920471191406,21.914437372145343,21.40758870231874,21.50035930142369,196231600,0.02819449713412947,AAPL,985,266,1.0
2016-02-17,22.201807022094727,22.22217067140794,21.756050950844866,21.873711619396975,179452800,0.015314755973275584,AAPL,984,265,1.0
2016-02-18,21.78094482421875,22.37603960702868,21.742477269354197,22.364725315659374,156084000,-0.018956213674731215,AAPL,983,264,1.0
2016-02-19,21.73116111755371,21.894077218998742,21.676856325844767,21.722110031215855,141496800,-0.0022856541379088213,AAPL,982,263,1.0
2016-02-22,21.921234130859375,21.92576053829812,21.70401318440241,21.792259139953092,137123200,0.008746565003014517,AAPL,979,260,1.0
2016-02-23,21.425691604614258,21.83524328373193,21.39401366956195,21.81261643388285,127770400,-0.022605594342315016,AAPL,978,259,1.0
2016-02-24,21.744739532470703,21.808095418234426,21.115703629076013,21.265043982363427,145022800,0.014890904515200587,AAPL,977,258,1.0
2016-02-25,21.89407730102539,21.89407730102539,21.55240612734355,21.733424402142486,110330800,0.006867765343047116,AAPL,976,257,1.0
2016-02-26,21.928024291992188,22.179184668945958,21.853354104247696,21.99364166463213,115964400,0.0015505102361728085,AAPL,975,256,1.0
2016-02-29,21.87824058532715,22.226699678106144,21.869189498022948,21.91670641163121,140865200,-0.0022703233999616934,AAPL,972,253,1.0
2016-03-01,22.74712371826172,22.80142851449741,22.043417665277012,22.09546098447838,201628400,0.03971448844553316,AAPL,971,252,1.0
2016-03-02,22.796899795532227,22.828577731584346,22.54573778374896,22.742595008916886,132678400,0.0021882360990785887,AAPL,970,251,1.0
2016-03-03,22.96660041809082,23.01411731524598,22.72901420599725,22.758430661129815,147822800,0.007444021953890934,AAPL,969,250,1.0
2016-03-04,23.30828285217285,23.475723675015796,22.937196852186524,23.163468887608364,184220400,0.014877362250482973,AAPL,968,249,1.0
2016-03-07,23.050331115722656,23.267552046038453,22.844422750525865,23.16799180560761,143315600,-0.011066955815071888,AAPL,965,246,1.0
2016-03-08,22.86025619506836,23.02543548799518,22.717705479544886,22.803688204196146,126247600,-0.00824608200637289,AAPL,964,245,1.0
2016-03-09,22.88062286376953,22.98470776570407,22.68829030286975,22.923613365367988,108806800,0.0008909204047138353,AAPL,963,244,1.0
