horizonte_dias,alvo_retorno,total_venda,total_neutro,total_compra,EV_Compra,EV_Venda,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1
360,0.05,8430,0,12980,0.00426952650748684,-0.0028123149792776796,0.5139423076923076,0.4718768502072232,0.4135962636222107,0.44081858407079644,0.0,0.0,0.0,0.5426952650748684,0.6005373936408419,0.5701530612244898,0.33699054843176207,0.510242595485267
360,0.07,8025,0,13385,0.010725536992840099,0.0014576271186440698,0.54375,0.5104116222760291,0.5430190623390005,0.5262106839740389,0.0,0.0,0.0,0.5766109785202864,0.5443893645786391,0.5600370885489105,0.3620825908409831,0.5442541435297217
360,0.1,7643,0,13767,0.02217814641182833,0.017231434751261723,0.6026442307692308,0.5861571737563086,0.4297040169133192,0.4958828911253431,0.0,0.0,0.0,0.6108907320591417,0.7469135802469136,0.6720888712557033,0.3893239207936821,0.591949036061799
360,0.15,6384,326,14700,0.03431166096341143,0.045505617977528105,0.6168269230769231,0.651685393258427,0.14436838830118232,0.23637289862455427,0.0,0.0,0.0,0.6143722032113714,0.9507128309572301,0.7464023025263831,0.3275917337169791,0.5317954088442138
360,0.2,5760,1067,14583,0.06167626359564937,-0.025827107790821785,0.5956730769230769,0.43543223052294555,0.3140877598152425,0.36493738819320215,0.25773195876288657,0.06009615384615385,0.09746588693957114,0.6541906589891234,0.83640081799591,0.7341590378747083,0.3988541043358272,0.5551967124599743
360,0.25,5036,2272,14102,0.08456659619450319,-0.07509881422924902,0.5459134615384615,0.34980237154150196,0.1671388101983003,0.22619808306709266,0.23897058823529413,0.2620967741935484,0.25,0.6691331923890064,0.8056851930420026,0.731087584215592,0.40242855576089487,0.5165185591260099
360,0.3,3888,3827,13695,0.07022630834512021,-0.22078651685393255,0.528125,0.13202247191011235,0.06714285714285714,0.08901515151515152,0.4149590163934426,0.32504012841091495,0.3645364536453645,0.617043847241867,0.7881662149954833,0.6921856406188021,0.38191241525977276,0.4925533739501822
360,0.4,1936,7098,12376,0.0008898776418242993,-0.309433962264151,0.5060096153846154,0.11320754716981132,0.020618556701030927,0.03488372093023256,0.5188393243828497,0.5957235206364992,0.5546296296296296,0.5011123470522804,0.48493003229278797,0.49288840262582057,0.36080058439522755,0.4906966346285235
360,0.5,993,10029,10388,0.014538558786346356,-0.4444444444444444,0.5963942307692308,0.05555555555555555,0.0078125,0.0136986301369863,0.6186213070725156,0.8402918524523713,0.7126160192506016,0.5145385587863464,0.2600638977635783,0.3455008488964346,0.35727183276134084,0.5530014357383867
720,0.03,7264,0,10546,0.0006027820710973707,-0.0061040693795863885,0.4613372093023256,0.39826551034022684,0.3856589147286822,0.39186084673449295,0.0,0.0,0.0,0.5100463678516228,0.5232558139534884,0.5165666579702582,0.30280916823491705,0.4604490429141639
720,0.05,6815,0,10995,0.0062582781456953646,-0.015714285714285712,0.5357558139534884,0.34285714285714286,0.09829351535836177,0.15278514588859415,0.0,0.0,0.0,0.5625827814569536,0.860253164556962,0.6802802802802803,0.2776884753896248,0.4556348233373093
720,0.07,6406,0,11404,0.012638888888888894,-0.035,0.5491279069767442,0.25,0.0774385703648548,0.11824900511654349,0.0,0.0,0.0,0.5902777777777778,0.8512160228898427,0.6971294669009959,0.2717928240058464,0.47113049591944944
