horizonte_dias,alvo_retorno,total_venda,total_neutro,total_compra,EV_Compra,EV_Venda,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1
360,0.3,3888,3827,13695,0.043965517241379315,-0.22875989445910289,0.4241626794258373,0.11873350923482849,0.1906779661016949,0.14634146341463414,0.4260027662517289,0.24600638977635783,0.3118987341772152,0.5732758620689655,0.5990990990990991,0.5859030837004405,0.3480477604307633,0.4293808174886154
360,0.4,1936,7098,12376,0.008566721581548642,-0.3785123966942149,0.469377990430622,0.026859504132231406,0.04377104377104377,0.03329065300896287,0.5434666666666667,0.5042058386937159,0.5231006160164271,0.5107084019769358,0.49946294307196565,0.5050230790116753,0.35380478267902177,0.48024560814177053
360,0.5,993,10029,10388,-0.027196652719665232,-0.4748427672955975,0.5732057416267943,0.025157232704402517,0.030303030303030304,0.027491408934707903,0.6625434866640897,0.691407825736184,0.6766679826292933,0.47280334728033474,0.4321223709369025,0.4515484515484515,0.3852359477041509,0.5716670610997417
720,0.03,7264,0,10546,0.003493670886075948,-0.0018715596330275228,0.5300578034682081,0.4688073394495413,0.32798459563543003,0.3859516616314199,0.0,0.0,0.0,0.5582278481012658,0.695583596214511,0.6193820224719101,0.3351112280344433,0.5142708946714813
720,0.05,6816,0,10994,0.008346709470304983,-0.005475206611570249,0.5447976878612717,0.4452479338842975,0.29339686861810754,0.3537135822732868,0.0,0.0,0.0,0.5834670947030498,0.730286288297338,0.6486727637742583,0.33412878201584834,0.5234429841138748
720,0.07,6406,0,11404,0.015335489086499593,-0.015760649087221103,0.546242774566474,0.38742393509127787,0.28338278931750743,0.3273350471293916,0.0,0.0,0.0,0.6095392077607114,0.7140151515151515,0.6576537287396423,0.32832959195634465,0.5289630978695214
720,0.1,6078,0,11732,0.025505751685838955,-0.03588924387646433,0.5442196531791907,0.32055378061767836,0.24274193548387096,0.2762735199632859,0.0,0.0,0.0,0.6275287584291948,0.7126126126126127,0.667369753216621,0.3145477577266356,0.527208097368605
720,0.15,5124,0,12686,0.031332813717848795,-0.07281879194630872,0.5147398843930636,0.25727069351230425,0.18473895582329317,0.21505376344086022,0.0,0.0,0.0,0.6044427123928293,0.7002257336343115,0.6488182388621627,0.28795733410100766,0.4927382469836883
720,0.2,4943,62,12805,0.018583396801218566,-0.06618705035971227,0.4953757225433526,0.3345323741007194,0.19634060520760027,0.247450110864745,0.0,0.0,0.0,0.5464584920030464,0.7258472432979262,0.6235064088637845,0.29031883990950985,0.45788982019147534
720,0.25,4694,204,12912,0.01694915254237289,-0.09727061556329851,0.476878612716763,0.305458768873403,0.1922514619883041,0.23598026020637056,0.3333333333333333,0.005235602094240838,0.010309278350515464,0.5338983050847458,0.7290899526564966,0.6164109406270847,0.2875668263946569,0.4325396723292923
720,0.3,3977,546,13287,0.04275914634146344,-0.1789731051344743,0.4823699421965318,0.2017114914425428,0.1585014409221902,0.17751479289940827,0.2777777777777778,0.011312217194570135,0.021739130434782608,0.571265243902439,0.7582195245321194,0.6515974788089546,0.28361713404771516,0.42849994527912166
720,0.4,2284,2434,13092,0.020469411312043106,-0.39176954732510294,0.4601156069364162,0.0102880658436214,0.008944543828264758,0.009569377990430622,0.5893333333333334,0.19838420107719928,0.29684351914036267,0.5255867641400539,0.7644096250699496,0.622891016871865,0.3097679713342194,0.41882636120492406
720,0.5,1063,4195,12552,-0.05093887335197758,-0.47560975609756095,0.48121387283236994,0.024390243902439025,0.014652014652014652,0.018306636155606407,0.6771752837326608,0.3145869947275923,0.4296,0.4490611266480224,0.7594594594594595,0.5643986944514185,0.3374351102023416,0.45480779753138145
1800,0.03,2733,0,4277,0.012048331415420027,-0.015661252900232014,0.5476923076923077,0.23897911832946636,0.2837465564738292,0.2594458438287154,0.0,0.0,0.0,0.7008055235903338,0.6499466382070438,0.6744186046511628,0.3112881494932927,0.5585454414368948
1800,0.05,2575,0,4435,0.02795371498172959,-0.025782881002087685,0.5815384615384616,0.24217118997912318,0.39057239057239057,0.29896907216494845,0.0,0.0,0.0,0.7795371498172959,0.638085742771685,0.7017543859649122,0.33357448604328693,0.6097334335044591
1800,0.07,2403,0,4607,0.05285393258426967,-0.0375609756097561,0.6738461538461539,0.23170731707317074,0.46568627450980393,0.30944625407166126,0.0,0.0,0.0,0.8775280898876404,0.7125912408759124,0.7865055387713998,0.36531726428102035,0.7116439279415947
1800,0.1,2279,0,4731,0.09368658399098084,-0.06997578692493947,0.7084615384615385,0.15012106537530268,0.6888888888888889,0.24652087475149106,0.0,0.0,0.0,0.9684329199549042,0.7099173553719008,0.8192656175488794,0.35526216410012346,0.779614058432137
1800,0.15,1548,0,5462,0.1442307692307692,-0.12403846153846153,0.8376923076923077,0.08653846153846154,0.46153846153846156,0.145748987854251,0.0,0.0,0.0,0.9807692307692307,0.8493259318001586,0.9103272418189545,0.3520254098910685,0.8873898942000135
1800,0.2,1112,0,5898,0.1882448979591837,-0.1786666666666667,0.9176923076923077,0.05333333333333334,0.1,0.06956521739130435,0.0,0.0,0.0,0.9706122448979592,0.9436507936507936,0.9569416498993963,0.34216895576356693,0.9296377596683781
1800,0.25,847,0,6163,0.23585286984640258,-0.25,0.9246153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.9717057396928052,0.950197628458498,0.9608313349320543,0.3202771116440181,0.9349627989915759
1800,0.3,645,0,6365,0.2732270916334661,-0.3,0.9223076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.9553784860557769,0.9638263665594855,0.9595838335334134,0.3198612778444711,0.9182479145504355
1800,0.4,445,390,6175,0.35760683760683765,-0.4,0.8915384615384615,0.0,0.0,0.0,0.49038461538461536,0.5604395604395604,0.5230769230769231,0.947008547008547,0.9413763806287171,0.9441840647635279,0.489086995946817,0.891465110943594
1800,0.5,296,620,6094,0.46223021582733814,-0.5,0.8892307692307693,0.0,0.0,0.0,0.5276073619631901,0.671875,0.5910652920962199,0.9622302158273381,0.9129692832764505,0.9369527145359019,0.5093393355440407,0.9028961067879947
